,회계연도,회계기간,기준일,매출액,매출원가,매출총이익,영업이익,영업비용,기본주당순이익,총자산,유동자산,고정자산,무형자산,기타유동자산,기타비유동자산,총부채,유동부채,비유동부채,장기부채,총자본,재고자산,매입채무,기타유동부채,순현금흐름,재무활동현금흐름,포괄손익,기타포괄손익,전년동기대비성장률,전기대비성장률,유동비율,부채비율,매출총이익률,영업이익률,총자산회전율
0,2025,Q2,2024-07-28,30040000000.0,7466000000.0,22574000000.0,3932000000.0,3932000000.0,0.68,85227000000.0,59633000000.0,4885000000.0,952000000.0,52958000000.0,19757000000.0,27070000000.0,13969000000.0,13101000000.0,8461000000.0,58157000000.0,6675000000.0,3680000000.0,9348000000.0,984000000.0,-10320000000.0,16764000000.0,165000000.0,,,426.89526809363593,46.54641745619616,75.14647137150466,13.089214380825565,0.3524704612388093
1,2025,Q1,2024-04-28,26044000000.0,5638000000.0,20406000000.0,3497000000.0,3497000000.0,6.04,77072000000.0,53729000000.0,4006000000.0,986000000.0,47865000000.0,18351000000.0,27930000000.0,15223000000.0,0.0,9710000000.0,49142000000.0,5864000000.0,2715000000.0,11869000000.0,307000000.0,-9345000000.0,14745000000.0,-136000000.0,,-13.30226364846871,352.9461998292058,56.83529363884254,78.35201965903855,13.42727691598833,0.33791779115632137
2,2024,Q4,2024-01-28,22103000000.0,5312000000.0,16791000000.0,3177000000.0,3177000000.0,4.98,65728000000.0,44345000000.0,3914000000.0,1112000000.0,39063000000.0,16357000000.0,22750000000.0,10631000000.0,12119000000.0,9709000000.0,42978000000.0,5282000000.0,2699000000.0,7257000000.0,1761000000.0,-3629000000.0,12400000000.0,115000000.0,,-15.132084165258794,417.1291505973097,52.93405928614639,75.9670632945754,14.373614441478534,0.3362798198636806
3,2024,Q3,2023-10-29,18120000000.0,4720000000.0,13400000000.0,2983000000.0,2983000000.0,3.75,54148000000.0,32658000000.0,3844000000.0,1251000000.0,27879000000.0,16395000000.0,20883000000.0,9101000000.0,11782000000.0,9706000000.0,33265000000.0,4779000000.0,2380000000.0,6205000000.0,-363000000.0,-4525000000.0,9206000000.0,-37000000.0,,-18.020178256345293,358.8396879463795,62.77769427326019,73.9514348785872,16.462472406181018,0.3346383984634705
4,2024,Q2,2023-07-30,13507000000.0,4045000000.0,9462000000.0,2662000000.0,2662000000.0,2.5,49555000000.0,28797000000.0,3799000000.0,1395000000.0,24478000000.0,15564000000.0,22054000000.0,10334000000.0,0.0,9705000000.0,27501000000.0,4319000000.0,1929000000.0,7763000000.0,803000000.0,-5099000000.0,6187000000.0,-1000000.0,-55.03661784287617,-25.458057395143484,278.66266692471453,80.1934475109996,70.0525653364922,19.70829940031095,0.2725658359398648
5,2024,Q1,2023-04-30,7192000000.0,2544000000.0,4648000000.0,2508000000.0,2508000000.0,0.83,44460000000.0,24883000000.0,3740000000.0,1541000000.0,20272000000.0,14296000000.0,19940000000.0,7260000000.0,0.0,10954000000.0,24520000000.0,4611000000.0,1141000000.0,5799000000.0,1690000000.0,-380000000.0,2036000000.0,-7000000.0,-72.38519428659193,-46.75353520396831,342.74104683195594,81.32137030995106,64.62736373748609,34.872080088987765,0.1617633828160144
6,2023,Q4,2023-01-29,6051000000.0,2218000000.0,3833000000.0,2577000000.0,2577000000.0,0.5800000000000001,41182000000.0,23073000000.0,3807000000.0,1676000000.0,17914000000.0,12626000000.0,19081000000.0,6563000000.0,12518000000.0,10953000000.0,22101000000.0,5159000000.0,1193000000.0,4840000000.0,589000000.0,-1656000000.0,1494000000.0,80000000.0,-72.62362575216034,-15.864849833147943,351.5617857687033,86.33545993393965,63.34490166914559,42.58800198314328,0.14693312612306347
7,2023,Q3,2022-10-30,5931000000.0,2754000000.0,3177000000.0,2576000000.0,2576000000.0,0.27,40488000000.0,23223000000.0,3774000000.0,1850000000.0,18769000000.0,11641000000.0,19139000000.0,6855000000.0,12284000000.0,10950000000.0,21349000000.0,4454000000.0,1491000000.0,5057000000.0,-213000000.0,-3753000000.0,647000000.0,-33000000.0,-67.2682119205298,-1.983143282102132,338.77461706783373,89.64822708323575,53.566009104704094,43.43281065587591,0.14648784825133374
8,2023,Q2,2022-07-31,6704000000.0,3789000000.0,2915000000.0,2416000000.0,2416000000.0,0.26,43476000000.0,27418000000.0,3233000000.0,2036000000.0,23529000000.0,10789000000.0,19625000000.0,7573000000.0,0.0,10949000000.0,23851000000.0,3889000000.0,2421000000.0,4731000000.0,-874000000.0,-3762000000.0,630000000.0,-26000000.0,-50.36647664174132,13.033215309391332,362.04938597649544,82.2816653389795,43.48150357995227,36.0381861575179,0.15420001840095685
9,2023,Q1,2022-05-01,8288000000.0,2857000000.0,5431000000.0,3563000000.0,3563000000.0,0.65,45212000000.0,29575000000.0,2916000000.0,2211000000.0,26412000000.0,10510000000.0,18892000000.0,5562000000.0,0.0,10947000000.0,26320000000.0,3163000000.0,1999000000.0,3236000000.0,1897000000.0,-2446000000.0,1565000000.0,-53000000.0,15.239154616240267,23.627684964200476,531.7331895001798,71.77811550151975,65.5284749034749,42.98986486486486,0.18331416438113776
10,2022,Q4,2022-01-30,7643000000.0,2644000000.0,4999000000.0,2029000000.0,2029000000.0,1.2000000000000002,44187000000.0,28829000000.0,2778000000.0,2339000000.0,26224000000.0,10241000000.0,17575000000.0,4335000000.0,13240000000.0,10946000000.0,26612000000.0,2605000000.0,1783000000.0,2143000000.0,702000000.0,-745000000.0,2983000000.0,-20000000.0,26.309700875888282,-7.7823359073359075,665.0288350634371,66.04163535247257,65.40625408870862,26.547167342666494,0.17296942539660987
11,2022,Q3,2021-10-31,7103000000.0,2472000000.0,4631000000.0,1960000000.0,1960000000.0,0.99,40632000000.0,25806000000.0,2509000000.0,2454000000.0,23573000000.0,9863000000.0,16834000000.0,3612000000.0,13222000000.0,10944000000.0,23798000000.0,2233000000.0,1664000000.0,1653000000.0,-4340000000.0,-1420000000.0,2465000000.0,1000000.0,19.760580003372112,-7.065288499280387,714.4518272425249,70.73703672577527,65.19780374489652,27.593974377023795,0.17481295530616264
12,2022,Q2,2021-08-01,6507000000.0,2292000000.0,4215000000.0,1771000000.0,1771000000.0,0.95,38650000000.0,25806000000.0,2364000000.0,2478000000.0,23497000000.0,8002000000.0,17503000000.0,4448000000.0,0.0,11943000000.0,21147000000.0,2114000000.0,1474000000.0,2587000000.0,4650000000.0,4501000000.0,2368000000.0,-6000000.0,-2.93854415274463,-8.390820779952133,580.1708633093525,82.76824135811226,64.77639465191332,27.216843399416014,0.16835705045278138
13,2022,Q1,2021-05-02,5661000000.0,2032000000.0,3629000000.0,1673000000.0,1673000000.0,3.08,30796000000.0,18127000000.0,2268000000.0,2613000000.0,15956000000.0,7788000000.0,12022000000.0,4004000000.0,0.0,6963000000.0,18774000000.0,1992000000.0,1218000000.0,2521000000.0,131000000.0,-471000000.0,1907000000.0,-5000000.0,-31.69642857142857,-13.001383125864455,452.7222777222777,64.0353680622137,64.10528175234057,29.553082494258966,0.18382257436030652
14,2021,Q4,2021-01-31,5003000000.0,1847000000.0,3156000000.0,1649000000.0,1649000000.0,2.3499999999999996,28791000000.0,16055000000.0,2149000000.0,2737000000.0,14229000000.0,7850000000.0,11898000000.0,3925000000.0,7973000000.0,6963000000.0,16893000000.0,1826000000.0,1201000000.0,2427000000.0,-1404000000.0,-342000000.0,1464000000.0,7000000.0,-34.54141044092634,-11.62338809397633,409.04458598726114,70.43153969099627,63.08215070957426,32.9602238656806,0.17376958077176896
15,2021,Q3,2020-10-25,4726000000.0,1766000000.0,2960000000.0,1562000000.0,1562000000.0,2.16,26881000000.0,14393000000.0,2059000000.0,2861000000.0,12898000000.0,7568000000.0,11547000000.0,3669000000.0,7878000000.0,6961000000.0,15334000000.0,1495000000.0,1097000000.0,2295000000.0,-1023000000.0,-301000000.0,1344000000.0,8000000.0,-33.46473321131916,-5.536677993204077,392.28672662850914,75.30324768488327,62.632247143461704,33.05120609394837,0.17581191175923513
16,2021,Q2,2020-07-26,3866000000.0,1591000000.0,2275000000.0,1624000000.0,1624000000.0,1.01,25180000000.0,14681000000.0,1964000000.0,2854000000.0,13280000000.0,5681000000.0,11266000000.0,2410000000.0,0.0,6960000000.0,13914000000.0,1401000000.0,893000000.0,1195000000.0,-12220000000.0,-297000000.0,636000000.0,14000000.0,-40.58706008913478,-18.197206940330087,609.1701244813278,80.9688083944229,58.84635281945163,42.007242628039315,0.15353455123113582
17,2021,Q1,2020-04-26,3080000000.0,1076000000.0,2004000000.0,1028000000.0,1028000000.0,1.49,23254000000.0,19584000000.0,1715000000.0,80000000.0,18456000000.0,1875000000.0,10155000000.0,1903000000.0,0.0,6959000000.0,13099000000.0,1128000000.0,761000000.0,978000000.0,4598000000.0,4744000000.0,906000000.0,-11000000.0,-45.592651475004416,-20.33109156751164,1029.111928533894,77.52500190854263,65.06493506493507,33.37662337662338,0.13245033112582782
18,2020,Q4,2020-01-26,3105000000.0,1090000000.0,2015000000.0,1025000000.0,1025000000.0,1.55,17315000000.0,13690000000.0,1674000000.0,49000000.0,12711000000.0,1902000000.0,5111000000.0,1784000000.0,3327000000.0,1991000000.0,12204000000.0,979000000.0,687000000.0,912000000.0,1131000000.0,-183000000.0,950000000.0,0.0,-37.93723765740556,0.8116883116883116,767.3766816143498,41.879711569977054,64.89533011272141,33.011272141706925,0.17932428530176148
19,2020,Q3,2019-10-27,3014000000.0,1098000000.0,1916000000.0,989000000.0,989000000.0,1.47,15810000000.0,12420000000.0,1517000000.0,43000000.0,11373000000.0,1830000000.0,4596000000.0,1475000000.0,3121000000.0,1990000000.0,11214000000.0,1047000000.0,591000000.0,729000000.0,2660000000.0,-236000000.0,899000000.0,-2000000.0,-36.2251375370292,-2.9307568438003218,842.0338983050847,40.98448368111289,63.57000663570007,32.81353682813537,0.19063883617963315
20,2020,Q2,2019-07-28,2579000000.0,1038000000.0,1541000000.0,970000000.0,970000000.0,0.91,14775000000.0,11391000000.0,1484000000.0,49000000.0,10187000000.0,1851000000.0,4439000000.0,1317000000.0,0.0,1989000000.0,10336000000.0,1204000000.0,437000000.0,697000000.0,4333000000.0,-148000000.0,552000000.0,1000000.0,-33.29022245214692,-14.432647644326476,864.9202733485193,42.9469814241486,59.75184179914695,37.611477316789454,0.17455160744500847
21,2020,Q1,2019-04-28,2220000000.0,924000000.0,1296000000.0,938000000.0,938000000.0,0.65,14021000000.0,10629000000.0,1473000000.0,54000000.0,9203000000.0,1865000000.0,4317000000.0,1183000000.0,0.0,1988000000.0,9704000000.0,1426000000.0,368000000.0,679000000.0,1990000000.0,-225000000.0,394000000.0,10000000.0,-27.92207792207792,-13.920124079100427,898.4784446322909,44.48680956306678,58.37837837837838,42.252252252252255,0.1583339276799087
22,2019,Q4,2019-01-27,2205000000.0,998000000.0,1207000000.0,913000000.0,913000000.0,0.93,13292000000.0,10557000000.0,1404000000.0,45000000.0,8982000000.0,1286000000.0,3950000000.0,1329000000.0,2621000000.0,1988000000.0,9342000000.0,1575000000.0,511000000.0,632000000.0,61000000.0,-877000000.0,567000000.0,0.0,-28.985507246376812,-0.6756756756756757,794.3566591422122,42.28216655962321,54.73922902494331,41.40589569160998,0.16588925669575685
